"num.claims" "av.claimsize"
"2433" 1 0.65793
"2445" 1 1.37032
"2451" 1 1.00084
"2462" 2 3.382565
"2489" 1 5.5
"2491" 1 1.01459
"2494" 2 3.13054
"2501" 3 4.32
"2502" 1 5.83337
"2503" 3 4.03028
"2505" 1 0.13978
"2509" 2 3.380245
"2514" 4 2.1606375
"2517" 2 0.51706
"2518" 1 2.58608
"2523" 2 2.45336
"2528" 2 0.51063
"2533" 3 0.377383333333333
"2534" 1 1.16825
"2536" 1 3.69574
"2538" 3 0.327793333333333
"2541" 3 2.46353333333333
"2545" 1 2.8793
"2548" 2 1.589685
"2549" 1 0.58645
"2554" 2 0.69426
"2557" 2 1.926935
"2561" 1 9.26
"2564" 3 1.56742666666667
"2576" 2 0.757935
"2578" 1 0.15166
"2579" 5 2.672042
"2582" 2 0.46221
"2587" 2 1.003625
"2589" 1 5.63709
"2591" 1 5.72915
"2592" 1 2.20782
"2593" 5 1.676666
"2598" 1 1.03358
"2606" 1 4.87654
"2609" 1 0.39712
"2613" 1 0.2194
"2614" 1 1.60692
"2615" 1 5.28
"2618" 1 1.26945
"2619" 1 0.15
"2621" 1 0.19879
"2622" 2 3.8043
"2623" 1 0.67162
"2629" 3 0.39331
"2630" 1 6.71958
"2635" 2 1.12099
"2636" 6 1.68897333333333
"2637" 2 3.03021
"2639" 1 0.76502
"2641" 1 0.22915
"2642" 1 5.4
"2646" 2 3.6862
"2647" 5 1.665986
"2648" 3 0.822076666666667
"2652" 1 0.67703
"2655" 1 3.34727
"2656" 3 0.69417
"2657" 2 2.942865
"2661" 2 0.46184
"2663" 2 0.439935
"2664" 1 1.19825
"2671" 1 3.4
"2672" 1 0.7839
"2677" 1 0.19068
"2678" 3 0.79722
"2679" 1 1.02587
"2683" 3 0.973483333333333
"2684" 2 0.68461
"2685" 1 0.41211
"2690" 4 2.1034025
"2691" 1 4.22
"2696" 2 1.875
"2702" 3 0.403303333333333
"2704" 1 6.79367
"2707" 1 0.54158
"2708" 2 2.32458
"2713" 1 0.19836
"2715" 1 6.45
"2720" 1 0.28448
"2722" 2 1.67826
"2723" 2 0.57272
"2724" 1 2.35829
"2730" 2 0.4004
"2733" 1 3.07681
